3469,"San Francisco International Airport","San Francisco","United States","SFO","KSFO",37.61899948120117,-122.375,13,-8,"A","America/Los_Angeles","airport","OurAirports"
3830,"Chicago O'Hare International Airport","Chicago","United States","ORD","KORD",41.9786,-87.9048,672,-6,"A","America/Chicago","airport","OurAirports"
3817,"Sacramento International Airport","Sacramento","United States","SMF","KSMF",38.69540023803711,-121.59100341796875,27,-8,"A","America/Los_Angeles","airport","OurAirports"
3797,"John F Kennedy International Airport","New York","United States","JFK","KJFK",40.63980103,-73.77890015,13,-5,"A","America/New_York","airport","OurAirports"
3734,"Ontario International Airport","Ontario","United States","ONT","KONT",34.055999755859375,-117.60099792480469,944,-8,"A","America/Los_Angeles","airport","OurAirports"
7907,"Ohio University Snyder Field","Athens","United States","ATO","KUNI",39.2109985352,-82.23139953610001,766,-5,"U","America/New_York","airport","OurAirports"
7908,"Springfield-Beckley Municipal Airport","Springfield","United States","SGH","KSGH",39.840301513672,-83.840202331543,1051,-5,"A","America/New_York","airport","OurAirports"
7909,"Sun Island Resort and SPA","South Aari Atoll","Maldives",\N,\N,3.488334,72.862989,0,-3,"N","America/Sao_Paulo","airport","OurAirports"
7910,"Fes Sefrou Airport","Fes","Morocco",\N,"GMFU",34.00809860229492,-4.965559959411621,1539,0,"U","Africa/Casablanca","airport","OurAirports"
4049,"University of Illinois Willard Airport","Champaign","United States","CMI","KCMI",40.03919983,-88.27809906,755,-6,"A","America/Chicago","airport","OurAirports"
3077,"Hong Kong International Airport","Hong Kong","Hong Kong","HKG","VHHH",22.308901,113.915001,28,8,"U","Asia/Hong_Kong","airport","OurAirports"
3072,"Shah Mokhdum Airport","Rajshahi","Bangladesh","RJH","VGRJ",24.43720054626465,88.61650085449219,64,6,"U","Asia/Dhaka","airport","OurAirports"
2241,"Doha International Airport","Doha","Qatar","DIA","OTBD",25.261101,51.565102,35,3,"U","Asia/Qatar","airport","OurAirports"
3484,"Los Angeles International Airport","Los Angeles","United States","LAX","KLAX",33.94250107,-118.4079971,125,-8,"A","America/Los_Angeles","airport","OurAirports"
2334,"Osaka International Airport","Osaka","Japan","ITM","RJOO",34.785499572753906,135.43800354003906,50,9,"U","Asia/Tokyo","airport","OurAirports"
1638,"Humberto Delgado Airport (Lisbon Portela Airport)","Lisbon","Portugal","LIS","LPPT",38.7813,-9.13592,374,0,"E","Europe/Lisbon","airport","OurAirports"
11051,"Hamad International Airport","Doha","Qatar","DOH","OTHH",25.273056,51.608056,13,3,"N",\N,"airport","OurAirports"
